dateoftest,elapsed,label
[26/Jul/2013:14:10:18,1684458,/rumba/login,302
[26/Jul/2013:14:10:17,2003966,/rumba/login,302
[26/Jul/2013:14:10:19,392454,/rumba/login,302
[26/Jul/2013:14:10:19,1088738,/rumba/login,302
[26/Jul/2013:14:10:20,856311,/,302
[26/Jul/2013:14:10:20,802964,/,302
[26/Jul/2013:14:10:20,1021373,/,302
[26/Jul/2013:14:10:17,3695792,/rumba/login?ticket=ST-3615-DewqIbbPtl2ZzWdeppcc-pearson-intl.com,302
[26/Jul/2013:14:10:20,1352618,/,302
[26/Jul/2013:14:10:21,604255,/rumba/login,302
[26/Jul/2013:14:10:17,4331926,/rumba/login?ticket=ST-3617-YCwecUlUWxSZDwcyfz6v-pearson-intl.com,302
[26/Jul/2013:14:10:20,1980481,/,302
[26/Jul/2013:14:10:20,1358302,/,302
[26/Jul/2013:14:10:21,1272936,/,302
[26/Jul/2013:14:10:21,1452101,/rumba/login,302
[26/Jul/2013:14:10:21,938139,/rumba/login,302
[26/Jul/2013:14:10:20,2276341,/,302
[26/Jul/2013:14:10:20,2490167,/rumba/login,302
[26/Jul/2013:14:10:19,3815131,/rumba/login?ticket=ST-3626-fjOPilyoREnTx5qe5ILv-pearson-intl.com,302
[26/Jul/2013:14:10:20,2732340,/,302
[26/Jul/2013:14:10:22,923733,/rumba/login,302
[26/Jul/2013:14:10:19,4770033,/rumba/login?ticket=ST-3623-wHBGHJzoHyJYfsaOFXm5-pearson-intl.com,302
[26/Jul/2013:14:10:19,4954240,/rumba/login?ticket=ST-3627-ifeHqPfNxSWDJHrBjerQ-pearson-intl.com,302
[26/Jul/2013:14:10:18,5733449,/rumba/login?ticket=ST-3622-M6Qfb3KR9FA9GekMQf2N-pearson-intl.com,302
[26/Jul/2013:14:10:22,2438993,/,302
[26/Jul/2013:14:10:22,2908423,/settings/,200
[26/Jul/2013:14:10:20,4916163,/rumba/login?ticket=ST-3633-gTeIOYtcTiJ4ctEl5CAk-pearson-intl.com,302
[26/Jul/2013:14:10:19,5532023,/rumba/login?ticket=ST-3629-WDYMGVXmDtI7RPquMRn6-pearson-intl.com,302
